customer_id,name,email,phone,plan_type,monthly_charge,tenure_months,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,churn_status
41,Cliente 41,cliente41@example.com,0953878560,Plan Prepago Movil,15.66,33,529.29,one-year,credit_card,0,4.05,0
42,Cliente 42,cliente42@example.com,0974003327,Internet Hogar 100MB,63.4,71,4288.26,month-to-month,credit_card,2,,0
43,Cliente 43,cliente43@example.com,0942647578,Fibra 500MB,15.0,37,556.97,month-to-month,credit_card,1,2.71,0
44,Cliente 44,cliente44@example.com,0901752090,Combo TV+Internet,37.79,65,2392.14,month-to-month,bank_transfer,2,3.23,0
45,Cliente 45,cliente45@example.com,0942375009,Plan Prepago Movil,78.13,53,4199.47,two-year,credit_card,2,4.8,0
46,Cliente 46,cliente46@example.com,0924782243,Plan Ilimitado,39.09,9,337.22,two-year,credit_card,1,4.9,0
47,Cliente 47,cliente47@example.com,0977237558,Fibra 200MB,46.62,46,2102.37,month-to-month,credit_card,0,2.79,1
48,Cliente 48,cliente48@example.com,0966480066,Plan Ilimitado,58.73,64,3415.45,month-to-month,credit_card,0,4.11,0
49,Cliente 49,cliente49@example.com,0926163537,Fibra 1GB,15.0,9,125.04,month-to-month,cash,0,3.59,0
50,Cliente 50,cliente50@example.com,0918429150,Combo TV+Internet,46.3,61,2873.06,month-to-month,credit_card,1,,0
51,Cliente 51,cliente51@example.com,0981268423,Internet Hogar 100MB,46.16,7,309.3,two-year,credit_card,1,3.27,0
52,Cliente 52,cliente52@example.com,0999198524,Combo TV+Internet,78.52,63,4478.13,month-to-month,bank_transfer,0,2.21,0
53,Cliente 53,cliente53@example.com,0972340410,Fibra 500MB,22.76,57,1200.21,month-to-month,cash,1,4.88,0
54,Cliente 54,cliente54@example.com,0937947266,Plan Prepago Movil,38.13,11,403.38,month-to-month,bank_transfer,1,,0
55,Cliente 55,cliente55@example.com,0934636250,Plan Prepago Movil,28.29,53,1510.9,month-to-month,cash,1,3.15,0
56,Cliente 56,cliente56@example.com,0945830058,Plan Ilimitado,26.38,8,201.44,month-to-month,cash,1,2.89,0
57,Cliente 57,cliente57@example.com,0988348844,Fibra 500MB,65.29,41,2708.42,two-year,bank_transfer,1,4.76,0
58,Cliente 58,cliente58@example.com,0901555324,Plan Familiar,45.48,67,3134.64,month-to-month,cash,0,4.94,0
59,Cliente 59,cliente59@example.com,0989035231,Fibra 200MB,35.0,15,499.36,one-year,credit_card,1,2.37,0
60,Cliente 60,cliente60@example.com,0948906970,Plan Prepago Movil,35.68,12,436.75,month-to-month,cash,2,3.44,1
61,Cliente 61,cliente61@example.com,0937922281,Combo TV+Internet,34.86,30,961.12,month-to-month,cash,2,3.54,0
62,Cliente 62,cliente62@example.com,0931905145,Internet Hogar 100MB,36.47,26,912.47,month-to-month,cash,0,2.75,1
63,Cliente 63,cliente63@example.com,0965428667,Plan Prepago Movil,22.24,3,61.02,month-to-month,bank_transfer,1,4.02,0
64,Cliente 64,cliente64@example.com,0929942339,Plan Prepago Movil,40.34,33,1208.59,month-to-month,bank_transfer,0,2.83,0
65,Cliente 65,cliente65@example.com,0929299616,Fibra 1GB,38.53,18,630.9,month-to-month,credit_card,0,3.01,0
66,Cliente 66,cliente66@example.com,0999443269,Internet Hogar 100MB,31.36,9,258.45,two-year,bank_transfer,1,3.49,0
67,Cliente 67,cliente67@example.com,0928009148,Fibra 500MB,47.79,20,980.04,one-year,credit_card,1,1.96,0
68,Cliente 68,cliente68@example.com,0933063141,Plan Familiar,49.32,1,48.41,two-year,bank_transfer,2,1.34,1
69,Cliente 69,cliente69@example.com,0987998510,Internet Hogar 100MB,34.98,66,2405.89,month-to-month,bank_transfer,0,4.61,0
70,Cliente 70,cliente70@example.com,0902820944,Combo TV+Internet,42.41,72,2994.59,one-year,credit_card,1,2.79,0
71,Cliente 71,cliente71@example.com,0939389470,Plan Familiar,83.86,26,2167.95,one-year,credit_card,1,5.0,0
72,Cliente 72,cliente72@example.com,0979100824,Combo TV+Internet,83.17,63,4860.74,month-to-month,credit_card,1,5.0,0
73,Cliente 73,cliente73@example.com,0933149386,Fibra 500MB,26.03,33,842.74,month-to-month,bank_transfer,3,3.04,0
74,Cliente 74,cliente74@example.com,0975322544,Fibra 200MB,28.54,66,1804.14,month-to-month,bank_transfer,2,5.0,0
75,Cliente 75,cliente75@example.com,0939689609,Fibra 1GB,25.93,12,323.52,one-year,bank_transfer,2,4.63,0
76,Cliente 76,cliente76@example.com,0943406078,Plan Familiar,64.03,20,1331.94,month-to-month,credit_card,1,,1
77,Cliente 77,cliente77@example.com,0943680430,Fibra 500MB,37.83,54,1899.36,month-to-month,cash,1,1.0,0
78,Cliente 78,cliente78@example.com,0905752498,Plan Prepago Movil,49.31,16,783.45,two-year,bank_transfer,1,4.36,0
79,Cliente 79,cliente79@example.com,0916633793,Fibra 500MB,80.95,60,4836.24,month-to-month,credit_card,2,,0
80,Cliente 80,cliente80@example.com,0998024624,Fibra 1GB,44.81,31,1367.41,two-year,credit_card,1,4.07,0
81,Cliente 81,cliente81@example.com,0901464346,Plan Familiar,57.71,29,1537.44,two-year,bank_transfer,1,,0
82,Cliente 82,cliente82@example.com,0975003257,Plan Familiar,54.37,33,1790.81,two-year,credit_card,0,2.34,0
83,Cliente 83,cliente83@example.com,0924243063,Internet Hogar 100MB,34.41,58,2035.42,one-year,credit_card,3,,0
84,Cliente 84,cliente84@example.com,0976180585,Fibra 200MB,64.06,0,0.0,month-to-month,credit_card,1,4.38,0
85,Cliente 85,cliente85@example.com,0954069702,Plan Familiar,29.71,54,1567.73,one-year,credit_card,3,3.21,0
86,Cliente 86,cliente86@example.com,0987324000,Internet Hogar 100MB,69.12,56,3551.19,one-year,credit_card,0,3.2,0
87,Cliente 87,cliente87@example.com,0980527190,Plan Familiar,34.43,59,2111.82,one-year,credit_card,2,1.93,0
88,Cliente 88,cliente88@example.com,0981007348,Plan Familiar,36.4,72,2401.78,month-to-month,cash,4,3.7,0
89,Cliente 89,cliente89@example.com,0925209384,Combo TV+Internet,25.41,57,1348.8,month-to-month,bank_transfer,1,2.38,0
90,Cliente 90,cliente90@example.com,0981539374,Fibra 200MB,28.36,38,1018.16,month-to-month,credit_card,1,4.61,0
91,Cliente 91,cliente91@example.com,0946640050,Internet Hogar 100MB,37.32,34,1299.17,month-to-month,bank_transfer,1,2.79,0
92,Cliente 92,cliente92@example.com,0968762619,Plan Prepago Movil,15.0,28,422.14,one-year,bank_transfer,0,3.27,0
93,Cliente 93,cliente93@example.com,0905401751,Fibra 1GB,40.8,60,2205.78,two-year,credit_card,0,5.0,0
94,Cliente 94,cliente94@example.com,0916640010,Plan Ilimitado,35.86,28,931.32,one-year,credit_card,1,3.26,0
95,Cliente 95,cliente95@example.com,0953257161,Internet Hogar 100MB,59.22,41,2458.43,one-year,credit_card,0,3.12,0
96,Cliente 96,cliente96@example.com,0953181736,Plan Familiar,52.61,7,353.75,month-to-month,bank_transfer,0,4.24,0
97,Cliente 97,cliente97@example.com,0974646241,Plan Prepago Movil,32.26,23,670.7,month-to-month,bank_transfer,1,1.64,0
98,Cliente 98,cliente98@example.com,0940483480,Plan Familiar,36.75,19,729.38,month-to-month,credit_card,1,4.98,0
99,Cliente 99,cliente99@example.com,0965325436,Fibra 1GB,40.78,31,1166.44,month-to-month,bank_transfer,0,4.69,0
100,Cliente 100,cliente100@example.com,0938275842,Fibra 200MB,71.75,36,2522.48,month-to-month,cash,0,4.18,1
101,Cliente 101,cliente101@example.com,0936481397,Plan Ilimitado,30.2,52,1471.85,month-to-month,credit_card,1,1.0,0
102,Cliente 102,cliente102@example.com,0909460162,Plan Ilimitado,32.04,31,1003.79,month-to-month,bank_transfer,0,3.31,0
103,Cliente 103,cliente103@example.com,0916281033,Plan Familiar,24.69,10,250.98,one-year,bank_transfer,0,2.2,0
104,Cliente 104,cliente104@example.com,0962947785,Plan Familiar,18.32,39,685.6,month-to-month,bank_transfer,1,4.84,0
105,Cliente 105,cliente105@example.com,0925462596,Fibra 500MB,50.53,3,151.4,month-to-month,bank_transfer,0,4.76,0
106,Cliente 106,cliente106@example.com,0991602814,Internet Hogar 100MB,48.65,61,3075.56,month-to-month,bank_transfer,3,4.03,0
107,Cliente 107,cliente107@example.com,0902146691,Internet Hogar 100MB,68.09,56,3897.77,one-year,credit_card,4,2.28,0
108,Cliente 108,cliente108@example.com,0945013855,Combo TV+Internet,63.75,16,981.48,one-year,credit_card,2,5.0,0
109,Cliente 109,cliente109@example.com,0958573803,Plan Ilimitado,88.15,19,1618.28,month-to-month,cash,0,3.31,0
110,Cliente 110,cliente110@example.com,0921581888,Plan Familiar,43.67,2,90.22,month-to-month,credit_card,1,5.0,0
111,Cliente 111,cliente111@example.com,0909453557,Plan Ilimitado,40.31,26,948.66,two-year,cash,2,3.89,0
112,Cliente 112,cliente112@example.com,0931570885,Plan Ilimitado,21.6,2,39.03,one-year,credit_card,0,4.16,0
113,Cliente 113,cliente113@example.com,0993166921,Fibra 200MB,57.54,68,3642.23,one-year,bank_transfer,3,3.09,0
114,Cliente 114,cliente114@example.com,0963161836,Fibra 1GB,47.13,9,434.41,month-to-month,bank_transfer,0,5.0,0
115,Cliente 115,cliente115@example.com,0955306498,Fibra 1GB,56.72,48,2512.87,two-year,credit_card,0,4.27,0
116,Cliente 116,cliente116@example.com,0903437313,Internet Hogar 100MB,24.5,41,947.03,two-year,cash,0,5.0,0
117,Cliente 117,cliente117@example.com,0974270416,Plan Prepago Movil,51.33,17,867.69,month-to-month,credit_card,1,3.8,0
118,Cliente 118,cliente118@example.com,0984987101,Plan Familiar,48.69,58,2619.66,one-year,bank_transfer,0,3.55,0
119,Cliente 119,cliente119@example.com,0934297666,Fibra 200MB,47.5,7,314.37,month-to-month,bank_transfer,1,4.25,0
120,Cliente 120,cliente120@example.com,0983122954,Plan Prepago Movil,32.7,64,2030.09,one-year,cash,0,5.0,0
121,Cliente 121,cliente121@example.com,0907681632,Internet Hogar 100MB,66.41,54,3350.23,month-to-month,bank_transfer,1,4.72,0
122,Cliente 122,cliente122@example.com,0922709998,Internet Hogar 100MB,81.91,46,3951.97,month-to-month,cash,2,3.75,0
123,Cliente 123,cliente123@example.com,0934187190,Plan Ilimitado,25.01,64,1479.82,two-year,cash,2,1.56,0
124,Cliente 124,cliente124@example.com,0971789110,Plan Familiar,57.97,29,1727.35,two-year,credit_card,2,4.49,0
125,Cliente 125,cliente125@example.com,0981343432,Internet Hogar 100MB,15.0,20,291.15,month-to-month,cash,1,2.02,0
126,Cliente 126,cliente126@example.com,0938194249,Plan Prepago Movil,57.03,11,576.75,two-year,cash,1,3.64,0
127,Cliente 127,cliente127@example.com,0988287048,Internet Hogar 100MB,15.0,67,922.36,month-to-month,credit_card,2,3.47,0
128,Cliente 128,cliente128@example.com,0955308722,Plan Ilimitado,35.55,29,1005.22,month-to-month,bank_transfer,0,2.04,0
129,Cliente 129,cliente129@example.com,0957068400,Combo TV+Internet,21.37,60,1221.97,two-year,credit_card,1,4.01,0
130,Cliente 130,cliente130@example.com,0918419816,Fibra 1GB,41.12,24,922.92,month-to-month,bank_transfer,0,5.0,0
131,Cliente 131,cliente131@example.com,0930058979,Plan Familiar,60.1,69,4328.7,month-to-month,credit_card,0,3.26,0
132,Cliente 132,cliente132@example.com,0921117147,Plan Familiar,15.0,63,916.18,one-year,bank_transfer,1,4.44,0
133,Cliente 133,cliente133@example.com,0991101339,Fibra 1GB,38.53,22,880.99,month-to-month,credit_card,2,5.0,0
134,Cliente 134,cliente134@example.com,0943473146,Plan Familiar,35.76,35,1157.23,month-to-month,bank_transfer,1,4.55,0
135,Cliente 135,cliente135@example.com,0935398781,Internet Hogar 100MB,73.46,57,3883.73,month-to-month,credit_card,0,2.89,0
136,Cliente 136,cliente136@example.com,0964701259,Fibra 200MB,52.77,16,835.37,one-year,bank_transfer,1,3.86,0
137,Cliente 137,cliente137@example.com,0984085068,Internet Hogar 100MB,23.81,1,22.39,month-to-month,bank_transfer,2,4.13,0
138,Cliente 138,cliente138@example.com,0988966168,Fibra 500MB,36.52,21,711.5,month-to-month,bank_transfer,2,5.0,0
139,Cliente 139,cliente139@example.com,0988128958,Internet Hogar 100MB,73.01,43,2870.08,one-year,credit_card,2,4.94,0
140,Cliente 140,cliente140@example.com,0962537314,Plan Ilimitado,57.86,9,474.62,month-to-month,credit_card,1,1.0,1
141,Cliente 141,cliente141@example.com,0948082145,Plan Ilimitado,28.47,24,692.15,month-to-month,credit_card,0,2.66,0
142,Cliente 142,cliente142@example.com,0995149726,Fibra 500MB,40.19,67,2537.43,one-year,cash,0,3.52,0
143,Cliente 143,cliente143@example.com,0972531833,Plan Familiar,40.77,5,213.38,one-year,credit_card,3,2.48,0
144,Cliente 144,cliente144@example.com,0914697896,Plan Familiar,35.32,3,98.27,month-to-month,bank_transfer,1,1.0,1
145,Cliente 145,cliente145@example.com,0983764674,Fibra 200MB,15.0,30,428.93,two-year,credit_card,1,2.8,0
146,Cliente 146,cliente146@example.com,0980338599,Internet Hogar 100MB,32.8,0,0.0,one-year,bank_transfer,0,3.6,0
147,Cliente 147,cliente147@example.com,0947214375,Combo TV+Internet,70.01,2,136.52,month-to-month,credit_card,2,3.02,0
148,Cliente 148,cliente148@example.com,0914405989,Fibra 200MB,38.14,13,510.99,one-year,bank_transfer,4,2.5,0
149,Cliente 149,cliente149@example.com,0989045837,Internet Hogar 100MB,43.14,7,309.59,one-year,credit_card,0,3.65,0
150,Cliente 150,cliente150@example.com,0975204162,Plan Familiar,47.53,59,2528.03,one-year,credit_card,0,3.98,0
151,Cliente 151,cliente151@example.com,0988861905,Fibra 500MB,84.93,8,653.21,one-year,credit_card,1,,1
152,Cliente 152,cliente152@example.com,0980441199,Combo TV+Internet,45.16,38,1757.59,one-year,credit_card,2,5.0,0
153,Cliente 153,cliente153@example.com,0902310548,Combo TV+Internet,64.69,51,2969.37,two-year,bank_transfer,2,3.66,0
154,Cliente 154,cliente154@example.com,0925307760,Internet Hogar 100MB,34.23,45,1509.61,one-year,cash,2,2.64,0
155,Cliente 155,cliente155@example.com,0966461214,Fibra 500MB,40.33,47,1779.73,two-year,bank_transfer,0,2.36,1
156,Cliente 156,cliente156@example.com,0980429622,Plan Prepago Movil,45.23,26,1131.19,one-year,cash,2,3.37,0
157,Cliente 157,cliente157@example.com,0950068718,Fibra 500MB,31.07,64,1915.0,two-year,bank_transfer,1,4.82,0
158,Cliente 158,cliente158@example.com,0928249465,Fibra 500MB,41.33,5,198.13,two-year,credit_card,0,2.69,0
159,Cliente 159,cliente159@example.com,0907343956,Fibra 200MB,60.98,7,441.28,month-to-month,credit_card,1,4.26,0
160,Cliente 160,cliente160@example.com,0953570119,Fibra 200MB,30.59,62,1859.54,month-to-month,credit_card,1,3.7,0
161,Cliente 161,cliente161@example.com,0953165670,Plan Prepago Movil,45.0,4,186.4,one-year,credit_card,2,5.0,0
162,Cliente 162,cliente162@example.com,0967235390,Fibra 1GB,57.76,14,815.93,month-to-month,cash,2,4.03,0
163,Cliente 163,cliente163@example.com,0918680188,Plan Ilimitado,30.16,12,344.79,one-year,bank_transfer,1,2.83,0
164,Cliente 164,cliente164@example.com,0988202950,Fibra 1GB,64.72,2,126.08,one-year,bank_transfer,0,4.41,0
165,Cliente 165,cliente165@example.com,0978157963,Combo TV+Internet,46.31,8,355.1,two-year,bank_transfer,1,4.45,0
166,Cliente 166,cliente166@example.com,0993685786,Plan Familiar,42.03,41,1765.08,month-to-month,credit_card,3,3.16,0
167,Cliente 167,cliente167@example.com,0946460041,Combo TV+Internet,15.0,48,668.26,one-year,bank_transfer,0,2.32,0
168,Cliente 168,cliente168@example.com,0971419803,Plan Familiar,38.27,6,238.91,month-to-month,credit_card,1,4.19,0
169,Cliente 169,cliente169@example.com,0994804810,Fibra 1GB,51.69,68,3469.45,month-to-month,credit_card,4,3.67,0
170,Cliente 170,cliente170@example.com,0970388147,Plan Prepago Movil,76.42,6,454.74,month-to-month,credit_card,0,1.93,0
171,Cliente 171,cliente171@example.com,0933570013,Plan Prepago Movil,55.22,50,2698.93,month-to-month,credit_card,2,3.88,0
172,Cliente 172,cliente172@example.com,0924363832,Plan Ilimitado,65.27,58,3721.96,month-to-month,bank_transfer,0,2.9,0
173,Cliente 173,cliente173@example.com,0986010769,Plan Ilimitado,23.24,38,883.25,one-year,credit_card,1,1.93,0
174,Cliente 174,cliente174@example.com,0930401738,Fibra 200MB,42.72,35,1492.59,one-year,credit_card,1,3.21,0
175,Cliente 175,cliente175@example.com,0956843782,Combo TV+Internet,66.97,7,436.97,month-to-month,cash,1,5.0,0
176,Cliente 176,cliente176@example.com,0989180888,Fibra 200MB,29.02,17,487.11,month-to-month,cash,2,4.93,1
177,Cliente 177,cliente177@example.com,0939508932,Plan Ilimitado,62.37,62,3685.94,month-to-month,bank_transfer,5,4.64,0
178,Cliente 178,cliente178@example.com,0953632264,Fibra 500MB,58.2,25,1448.53,two-year,bank_transfer,1,3.9,0
179,Cliente 179,cliente179@example.com,0905712393,Plan Familiar,49.95,2,98.12,two-year,bank_transfer,2,4.26,1
180,Cliente 180,cliente180@example.com,0986953707,Plan Prepago Movil,39.08,53,1919.94,month-to-month,credit_card,1,3.71,0
181,Cliente 181,cliente181@example.com,0926524574,Internet Hogar 100MB,27.25,49,1348.88,month-to-month,credit_card,1,2.38,0
182,Cliente 182,cliente182@example.com,0900684019,Plan Ilimitado,76.96,4,298.16,month-to-month,credit_card,2,2.6,1
183,Cliente 183,cliente183@example.com,0970276269,Internet Hogar 100MB,56.37,3,166.19,one-year,credit_card,2,2.93,1
184,Cliente 184,cliente184@example.com,0998303056,Internet Hogar 100MB,51.13,8,409.41,month-to-month,cash,1,5.0,0
185,Cliente 185,cliente185@example.com,0931502996,Fibra 500MB,37.57,3,112.48,month-to-month,bank_transfer,1,4.78,0
186,Cliente 186,cliente186@example.com,0930647188,Fibra 500MB,45.68,44,2034.72,month-to-month,cash,0,2.41,0
187,Cliente 187,cliente187@example.com,0940437209,Internet Hogar 100MB,47.96,9,401.86,month-to-month,bank_transfer,2,3.66,0
188,Cliente 188,cliente188@example.com,0920872468,Fibra 200MB,52.2,44,2105.15,month-to-month,bank_transfer,1,3.16,0
189,Cliente 189,cliente189@example.com,0932088972,Fibra 1GB,58.22,12,698.9,month-to-month,bank_transfer,2,3.43,0
190,Cliente 190,cliente190@example.com,0922496478,Combo TV+Internet,30.92,70,2024.57,one-year,bank_transfer,0,3.01,0
191,Cliente 191,cliente191@example.com,0948031123,Fibra 500MB,18.6,52,887.11,month-to-month,bank_transfer,1,5.0,0
192,Cliente 192,cliente192@example.com,0975441775,Fibra 1GB,46.52,27,1155.16,month-to-month,credit_card,1,3.58,0
193,Cliente 193,cliente193@example.com,0988810400,Internet Hogar 100MB,15.0,31,440.32,one-year,bank_transfer,0,3.84,0
194,Cliente 194,cliente194@example.com,0911338913,Plan Ilimitado,39.17,4,164.32,month-to-month,credit_card,0,3.85,0
195,Cliente 195,cliente195@example.com,0952364704,Combo TV+Internet,35.83,4,132.37,one-year,bank_transfer,0,,0
196,Cliente 196,cliente196@example.com,0932437183,Plan Prepago Movil,53.85,39,1984.18,two-year,credit_card,1,,0
197,Cliente 197,cliente197@example.com,0951967892,Fibra 200MB,80.69,1,83.77,month-to-month,bank_transfer,2,4.77,0
198,Cliente 198,cliente198@example.com,0932587547,Internet Hogar 100MB,15.0,46,720.7,two-year,credit_card,1,5.0,0
199,Cliente 199,cliente199@example.com,0948566743,Internet Hogar 100MB,85.94,27,2167.99,one-year,credit_card,0,2.34,0
200,Cliente 200,cliente200@example.com,0949179065,Plan Ilimitado,40.8,10,421.08,one-year,bank_transfer,0,1.93,0
201,Cliente 201,cliente201@example.com,0930657096,Plan Prepago Movil,51.26,39,1840.88,month-to-month,credit_card,0,3.67,0
202,Cliente 202,cliente202@example.com,0944955632,Plan Familiar,19.53,40,792.32,month-to-month,cash,0,4.82,0
203,Cliente 203,cliente203@example.com,0973040569,Plan Familiar,62.94,54,3065.52,month-to-month,credit_card,1,4.0,0
204,Cliente 204,cliente204@example.com,0963657907,Fibra 200MB,45.75,14,615.52,two-year,credit_card,0,4.35,0
205,Cliente 205,cliente205@example.com,0983443834,Plan Ilimitado,43.89,39,1604.04,one-year,credit_card,1,2.1,0
206,Cliente 206,cliente206@example.com,0952651105,Plan Familiar,15.0,61,920.13,month-to-month,cash,1,2.97,0
207,Cliente 207,cliente207@example.com,0989699638,Combo TV+Internet,46.33,19,794.36,month-to-month,bank_transfer,2,1.18,0
208,Cliente 208,cliente208@example.com,0968294838,Plan Prepago Movil,60.22,60,3503.85,month-to-month,credit_card,2,3.44,0
209,Cliente 209,cliente209@example.com,0962113056,Plan Ilimitado,40.75,52,2128.56,month-to-month,credit_card,2,1.22,1
210,Cliente 210,cliente210@example.com,0979896878,Fibra 200MB,66.14,31,1859.67,one-year,bank_transfer,1,5.0,0
211,Cliente 211,cliente211@example.com,0945946610,Plan Prepago Movil,65.39,64,4329.8,month-to-month,cash,2,5.0,0
212,Cliente 212,cliente212@example.com,0967560176,Plan Familiar,33.46,70,2234.88,one-year,credit_card,1,3.75,0
213,Cliente 213,cliente213@example.com,0915070822,Plan Familiar,73.71,17,1158.83,one-year,credit_card,3,1.94,1
214,Cliente 214,cliente214@example.com,0998311354,Plan Prepago Movil,45.82,71,3037.92,one-year,credit_card,1,4.01,0
215,Cliente 215,cliente215@example.com,0988294087,Plan Ilimitado,45.9,0,0.0,two-year,credit_card,2,5.0,0
216,Cliente 216,cliente216@example.com,0938999251,Plan Prepago Movil,46.78,9,391.45,month-to-month,bank_transfer,0,4.12,0
217,Cliente 217,cliente217@example.com,0964893305,Fibra 1GB,46.25,3,135.5,one-year,cash,0,4.9,0
218,Cliente 218,cliente218@example.com,0939845699,Plan Familiar,15.0,26,388.03,one-year,cash,2,3.07,0
219,Cliente 219,cliente219@example.com,0943721236,Fibra 1GB,41.66,68,2733.77,month-to-month,bank_transfer,1,2.64,0
220,Cliente 220,cliente220@example.com,0971019255,Fibra 500MB,20.45,43,847.74,month-to-month,credit_card,1,3.52,1
221,Cliente 221,cliente221@example.com,0928054719,Plan Prepago Movil,74.27,45,3399.82,month-to-month,cash,0,1.48,0
222,Cliente 222,cliente222@example.com,0977462074,Plan Prepago Movil,73.55,6,417.1,month-to-month,credit_card,2,5.0,0
223,Cliente 223,cliente223@example.com,0932656983,Fibra 200MB,60.33,37,2217.51,month-to-month,credit_card,2,3.75,0
224,Cliente 224,cliente224@example.com,0921582947,Fibra 500MB,40.71,27,1136.47,month-to-month,bank_transfer,2,4.55,0
225,Cliente 225,cliente225@example.com,0921554466,Fibra 200MB,26.86,34,852.26,one-year,credit_card,2,3.09,0
